entry_time,entry_time_vn,entry_price,sl,tp,risk,breakout_type,close_1h_at_entry,ema200_1h_at_entry,entry_dist_ema200_pct,h1_range_high_at_breakout,ema200_1h_at_breakout,h1_range_high_dist_ema200_pct,breakout_time,breakout_time_vn,breakout_level,breakout_swing_low,retest_time,retest_time_vn,retest_low,retest_depth_pct,bars_since_breakout,side,exit_time,exit_time_vn,exit_price,result,balance
2019-09-12 23:00:00,2019-09-13 06:00:00,10360.75,10272.03,10582.55,100.0,range,10415.13,10126.343453229485,2.314819242040998,10400.0,10120.807820356164,2.758595801832065,2019-09-12 21:20:00,2019-09-13 04:20:00,10360.75,10272.03,2019-09-12 23:00:00,2019-09-13 06:00:00,10357.51,3.6519386834984284,20,LONG,2019-09-13 07:10:00,2019-09-13 14:10:00,10272.03,-100.0,9900.0
2019-10-20 21:00:00,2019-10-21 04:00:00,8187.15,8108.26,8384.374999999998,99.0,range,8192.58,8087.768312872105,1.2287899861043732,8234.01,8085.467842941993,1.8371498093047716,2019-10-20 19:30:00,2019-10-21 02:30:00,8187.15,8108.26,2019-10-20 21:00:00,2019-10-21 04:00:00,8181.05,7.732285460767524,18,LONG,2019-10-22 20:00:00,2019-10-23 03:00:00,8108.26,-99.0,9801.0
2019-11-02 13:00:00,2019-11-02 20:00:00,9319.03,9204.0,9606.605000000003,98.01,range,9340.0,9030.452127506938,3.195608242183671,9350.0,9027.341093612535,3.5742407763429775,2019-11-02 12:55:00,2019-11-02 19:55:00,9319.03,9204.0,2019-11-02 13:00:00,2019-11-02 20:00:00,9313.0,5.242110753716961,1,LONG,2019-11-03 08:10:00,2019-11-03 15:10:00,9204.0,-98.01,9702.99
2019-12-22 18:50:00,2019-12-23 01:50:00,7380.0,7210.0,7805.0,97.0299,range,7391.0,7108.081387820505,3.825485350314354,7450.0,7108.081387820505,4.81027992680785,2019-12-22 18:45:00,2019-12-23 01:45:00,7380.0,7210.0,2019-12-22 18:50:00,2019-12-23 01:50:00,7379.36,0.37647058823548674,1,LONG,2019-12-24 16:10:00,2019-12-24 23:10:00,7210.0,-97.0299,9605.9601
2019-12-29 13:25:00,2019-12-29 20:25:00,7370.0,7322.26,7489.349999999999,96.059601,range,7387.51,7249.281706443074,1.6652448952236647,7397.56,7249.281706443074,2.0454204921452934,2019-12-29 13:20:00,2019-12-29 20:20:00,7370.0,7322.26,2019-12-29 13:25:00,2019-12-29 20:25:00,7361.23,18.37033933808227,1,LONG,2019-12-29 20:15:00,2019-12-30 03:15:00,7489.349999999999,240.1490025,9846.1091025
2020-01-03 09:55:00,2020-01-03 16:55:00,7333.0,7208.41,7644.475,98.461091025,range,7345.15,7206.226503784773,1.7592216418488182,7360.76,7206.226503784773,2.144444060064793,2020-01-03 09:50:00,2020-01-03 16:50:00,7333.0,7208.41,2020-01-03 09:55:00,2020-01-03 16:55:00,7332.96,0.0321053054016884,1,LONG,2020-01-06 22:20:00,2020-01-07 05:20:00,7644.475,246.1527275625,10092.2618300625
2020-01-06 23:15:00,2020-01-07 06:15:00,7703.4,7545.97,8096.9749999999985,100.922618300625,range,7757.39,7340.044526667135,4.950317018006594,7764.31,7335.850099799468,5.840630525046373,2020-01-06 22:40:00,2020-01-07 05:40:00,7703.4,7545.97,2020-01-06 23:15:00,2020-01-07 06:15:00,7702.11,0.8194118020707417,7,LONG,2020-01-07 18:35:00,2020-01-08 01:35:00,8096.9749999999985,252.3065457515625,10344.568375814062
2020-01-10 18:20:00,2020-01-11 01:20:00,8056.75,7912.95,8416.25,103.44568375814062,range,8026.36,7714.225204940298,4.440171060087079,8145.41,7714.225204940298,5.5894763713090105,2020-01-10 18:15:00,2020-01-11 01:15:00,8056.75,7912.95,2020-01-10 18:20:00,2020-01-11 01:20:00,8056.49,0.18080667593895547,1,LONG,2020-01-14 01:35:00,2020-01-14 08:35:00,8416.25,258.61420939535157,10603.182585209413
2020-01-14 14:15:00,2020-01-14 21:15:00,8629.9,8479.54,9005.799999999996,106.03182585209413,range,8698.64,8009.579686323123,7.7447299105609035,8749.0,8009.579686323123,9.23169932299301,2020-01-14 14:10:00,2020-01-14 21:10:00,8629.9,8479.54,2020-01-14 14:15:00,2020-01-14 21:15:00,8628.74,0.7714817770682788,1,LONG,2020-01-17 06:15:00,2020-01-17 13:15:00,9005.799999999996,265.0795646302353,10868.26214983965
2020-01-27 00:05:00,2020-01-27 07:05:00,8615.0,8549.0,8780.0,108.6826214983965,range,8666.36,8505.808712019856,1.2837261179626798,8700.0,8505.808712019856,2.2830432067644004,2020-01-27 00:00:00,2020-01-27 07:00:00,8615.0,8549.0,2020-01-27 00:05:00,2020-01-27 07:05:00,8611.0,6.0606060606060606,1,LONG,2020-01-27 13:35:00,2020-01-27 20:35:00,8780.0,271.70655374599124,11139.96870358564
