time,open,high,low,close,volume,ema200,close_1h,valid_long,valid_short,range_high,range_low
2026-04-09 10:45:00,71373.3,71430.0,71365.0,71369.9,278.889,69710.02865133426,71234.7,False,False,72858.5,70428.0
2026-04-09 10:50:00,71369.9,71369.9,71267.8,71294.7,252.369,69710.02865133426,71234.7,False,False,72858.5,70428.0
2026-04-09 10:55:00,71294.7,71329.9,71234.7,71234.7,227.697,69710.02865133426,71234.7,False,False,72858.5,70428.0
2026-04-09 11:00:00,71234.7,71317.0,71212.6,71278.9,281.613,69723.9577194802,71109.9,False,False,72858.5,70428.0
2026-04-09 11:05:00,71278.9,71286.0,71209.0,71223.3,286.674,69723.9577194802,71109.9,False,False,72858.5,70428.0
2026-04-09 11:10:00,71223.4,71223.4,71137.0,71159.9,587.461,69723.9577194802,71109.9,False,False,72858.5,70428.0
2026-04-09 11:15:00,71159.9,71179.0,71089.1,71179.0,474.41,69723.9577194802,71109.9,False,False,72858.5,70428.0
2026-04-09 11:20:00,71179.0,71199.0,71121.0,71141.7,274.904,69723.9577194802,71109.9,False,False,72858.5,70428.0
2026-04-09 11:25:00,71141.6,71141.7,71007.8,71039.9,644.403,69723.9577194802,71109.9,False,False,72858.5,70428.0
2026-04-09 11:30:00,71039.9,71134.3,71039.9,71093.5,290.647,69723.9577194802,71109.9,False,False,72858.5,70428.0
2026-04-09 11:35:00,71093.5,71152.9,71051.4,71143.7,235.271,69723.9577194802,71109.9,False,False,72858.5,70428.0
2026-04-09 11:40:00,71143.8,71183.8,71110.6,71136.0,176.584,69723.9577194802,71109.9,False,False,72858.5,70428.0
2026-04-09 11:45:00,71135.9,71186.4,71126.5,71177.1,169.802,69723.9577194802,71109.9,False,False,72858.5,70428.0
2026-04-09 11:50:00,71177.1,71187.8,71151.1,71152.4,119.28,69723.9577194802,71109.9,False,False,72858.5,70428.0
2026-04-09 11:55:00,71152.4,71152.5,71097.6,71109.9,153.512,69723.9577194802,71109.9,False,False,72858.5,70428.0
2026-04-09 12:00:00,71109.9,71180.0,71109.9,71163.0,198.214,69739.0924685401,71245.0,False,False,72858.5,70428.0
2026-04-09 12:05:00,71163.1,71207.6,71135.0,71192.4,177.391,69739.0924685401,71245.0,False,False,72858.5,70428.0
2026-04-09 12:10:00,71192.5,71219.7,71161.8,71161.9,229.555,69739.0924685401,71245.0,False,False,72858.5,70428.0
2026-04-09 12:15:00,71162.0,71214.3,71124.1,71124.1,216.362,69739.0924685401,71245.0,False,False,72858.5,70428.0
2026-04-09 12:20:00,71124.1,71124.2,70978.8,71068.8,617.35,69739.0924685401,71245.0,False,False,72858.5,70428.0
2026-04-09 12:25:00,71068.8,71299.6,71065.2,71236.7,607.465,69739.0924685401,71245.0,False,False,72858.5,70428.0
2026-04-09 12:30:00,71236.7,71261.4,71129.0,71191.3,461.895,69739.0924685401,71245.0,False,False,72858.5,70428.0
2026-04-09 12:35:00,71191.3,71236.9,71090.9,71115.7,246.165,69739.0924685401,71245.0,False,False,72858.5,70428.0
2026-04-09 12:40:00,71115.7,71257.9,71091.5,71170.1,348.529,69739.0924685401,71245.0,False,False,72858.5,70428.0
2026-04-09 12:45:00,71170.1,71199.1,71060.0,71125.0,205.573,69739.0924685401,71245.0,False,False,72858.5,70428.0
2026-04-09 12:50:00,71125.0,71188.0,71118.2,71167.5,142.555,69739.0924685401,71245.0,False,False,72858.5,70428.0
2026-04-09 12:55:00,71167.5,71264.3,71167.4,71245.0,234.471,69739.0924685401,71245.0,False,False,72858.5,70428.0
2026-04-09 13:00:00,71244.9,71320.0,71130.0,71142.4,457.89,69749.30249372876,70765.2,False,False,72858.5,70428.0
2026-04-09 13:05:00,71142.4,71157.2,71072.1,71100.0,347.027,69749.30249372876,70765.2,False,False,72858.5,70428.0
2026-04-09 13:10:00,71099.9,71102.3,71067.5,71077.3,230.854,69749.30249372876,70765.2,False,False,72858.5,70428.0
2026-04-09 13:15:00,71077.3,71109.7,71070.0,71087.6,222.28,69749.30249372876,70765.2,False,False,72858.5,70428.0
2026-04-09 13:20:00,71087.6,71092.7,71027.8,71077.1,229.263,69749.30249372876,70765.2,False,False,72858.5,70428.0
2026-04-09 13:25:00,71077.0,71114.2,71062.0,71070.0,195.986,69749.30249372876,70765.2,False,False,72858.5,70428.0
2026-04-09 13:30:00,71070.0,71128.4,70868.0,70955.0,1226.698,69749.30249372876,70765.2,False,False,72858.5,70428.0
2026-04-09 13:35:00,70955.0,71073.1,70765.6,70913.7,1564.012,69749.30249372876,70765.2,False,False,72858.5,70428.0
2026-04-09 13:40:00,70913.7,70929.0,70777.0,70856.6,963.895,69749.30249372876,70765.2,False,False,72858.5,70428.0
2026-04-09 13:45:00,70856.7,70880.0,70710.0,70850.3,900.773,69749.30249372876,70765.2,False,False,72858.5,70428.0
2026-04-09 13:50:00,70850.3,70850.3,70703.9,70705.1,854.198,69749.30249372876,70765.2,False,False,72858.5,70428.0
2026-04-09 13:55:00,70705.1,70798.1,70590.0,70765.2,1850.822,69749.30249372876,70765.2,False,False,72858.5,70428.0
2026-04-09 14:00:00,70765.2,70795.2,70672.0,70747.3,857.307,69762.57809080608,71083.5,False,False,72858.5,70428.0
2026-04-09 14:05:00,70747.2,70752.0,70637.9,70653.9,479.302,69762.57809080608,71083.5,False,False,72858.5,70428.0
2026-04-09 14:10:00,70653.8,70823.3,70606.2,70750.0,773.139,69762.57809080608,71083.5,False,False,72858.5,70428.0
