entry_time,entry_time_vn,entry_price,sl,tp,risk,breakout_type,close_1h_at_entry,ema200_1h_at_entry,entry_dist_ema200_pct,h1_range_high_at_breakout,ema200_1h_at_breakout,h1_range_high_dist_ema200_pct,breakout_time,breakout_time_vn,breakout_level,breakout_swing_low,retest_time,retest_time_vn,retest_low,retest_depth_pct,bars_since_breakout,exit_time,exit_time_vn,exit_price,result,balance
2019-09-19 02:50:00,2019-09-19 09:50:00,10096.9,10178.23,9893.575,100.0,range,10093.66,10211.080823316897,1.1182050685189655,10081.56,10211.080823316897,1.2684340233713394,2019-09-19 02:45:00,2019-09-19 09:45:00,10096.9,10178.23,2019-09-19 02:50:00,2019-09-19 09:50:00,10099.69,3.430468461823282,1,2019-09-19 03:00:00,2019-09-19 10:00:00,9893.575,250.0,10250.0
2019-09-21 08:25:00,2019-09-21 15:25:00,10041.8,10095.13,9908.474999999999,102.5,range,10034.66,10160.393900750216,1.1672175499166417,9963.02,10160.393900750216,1.9425811900426602,2019-09-21 08:20:00,2019-09-21 15:20:00,10041.8,10095.13,2019-09-21 08:25:00,2019-09-21 15:25:00,10045.5,6.937933620852677,1,2019-09-22 01:05:00,2019-09-22 08:05:00,9908.474999999999,256.25,10506.25
2019-09-29 12:30:00,2019-09-29 19:30:00,8031.34,8095.24,7871.590000000001,105.0625,range,7993.12,8753.83875159102,8.2535076563948,7895.93,8753.83875159102,9.800371881822633,2019-09-29 12:25:00,2019-09-29 19:25:00,8031.34,8095.24,2019-09-29 12:30:00,2019-09-29 19:30:00,8040.0,13.55242566510157,1,2019-09-29 21:20:00,2019-09-30 04:20:00,8095.24,-105.0625,10401.1875
2019-10-03 19:15:00,2019-10-04 02:15:00,8114.13,8156.22,8008.905,104.011875,range,8141.03,8406.29698838227,3.4755729994556743,8020.0,8406.29698838227,4.595328822145383,2019-10-03 19:05:00,2019-10-04 02:05:00,8114.13,8156.22,2019-10-03 19:15:00,2019-10-04 02:15:00,8114.34,0.49893086243771834,2,2019-10-03 20:00:00,2019-10-04 03:00:00,8156.22,-104.011875,10297.175625
2019-10-05 13:35:00,2019-10-05 20:35:00,8041.65,8096.41,7904.749999999999,102.97175625,range,8067.89,8309.23890192255,3.2203780043035852,8010.0,8309.23890192255,3.6012793163681187,2019-10-05 13:20:00,2019-10-05 20:20:00,8041.65,8096.41,2019-10-05 13:35:00,2019-10-05 20:35:00,8044.26,4.766252739226756,3,2019-10-05 20:35:00,2019-10-06 03:35:00,8096.41,-102.97175625,10194.203868749999
2019-10-06 13:55:00,2019-10-06 20:55:00,7903.75,7962.02,7758.074999999999,101.94203868749999,range,7899.82,8247.270790950633,4.1652663003082635,7859.03,8247.270790950633,4.707506286523698,2019-10-06 13:50:00,2019-10-06 20:50:00,7903.75,7962.02,2019-10-06 13:55:00,2019-10-06 20:55:00,7906.15,4.118757508151052,1,2019-10-06 15:15:00,2019-10-06 22:15:00,7962.02,-101.94203868749999,10092.261830062498
2019-10-11 23:25:00,2019-10-12 06:25:00,8306.79,8341.9,8219.015000000003,100.92261830062499,range,8255.58,8304.273766567889,-0.030300463386000294,8210.0,8304.273766567889,1.1352439625416104,2019-10-11 23:20:00,2019-10-12 06:20:00,8306.79,8341.9,2019-10-11 23:25:00,2019-10-12 06:25:00,8307.0,0.5981201936745494,1,2019-10-11 23:45:00,2019-10-12 06:45:00,8219.015000000003,252.30654575156248,10344.56837581406
2019-10-15 21:10:00,2019-10-16 04:10:00,8157.1,8180.0,8099.850000000001,103.4456837581406,range,8159.53,8303.913380352853,1.768002309612413,8080.0,8305.36446960263,2.713480792173014,2019-10-15 20:55:00,2019-10-16 03:55:00,8157.1,8180.0,2019-10-15 21:10:00,2019-10-16 04:10:00,8161.91,21.004366812225182,3,2019-10-15 23:30:00,2019-10-16 06:30:00,8180.0,-103.4456837581406,10241.12269205592
2019-10-18 08:10:00,2019-10-18 15:10:00,7878.72,7926.72,7758.72,102.4112269205592,range,7877.02,8185.511207176105,3.7479785857130814,7812.0,8185.511207176105,4.563077341445135,2019-10-18 08:05:00,2019-10-18 15:05:00,7878.72,7926.72,2019-10-18 08:10:00,2019-10-18 15:10:00,7884.55,12.145833333333183,1,2019-10-18 11:30:00,2019-10-18 18:30:00,7926.72,-102.4112269205592,10138.71146513536
2019-10-23 03:30:00,2019-10-23 10:30:00,8016.0,8042.38,7950.049999999999,101.38711465135361,range,7953.2,8126.654293935368,1.3616217687264605,7937.0,8126.654293935368,2.333731534229281,2019-10-23 03:25:00,2019-10-23 10:25:00,8016.0,8042.38,2019-10-23 03:30:00,2019-10-23 10:30:00,8019.88,14.708112206217184,1,2019-10-23 03:35:00,2019-10-23 10:35:00,7950.049999999999,253.46778662838403,10392.179251763744
2019-10-23 08:00:00,2019-10-23 15:00:00,7959.81,7982.0,7904.335000000001,103.92179251763744,range,7976.78,8118.819149761859,1.9585255790125922,7917.11,8120.246678905194,2.501607240983253,2019-10-23 07:55:00,2019-10-23 14:55:00,7959.81,7982.0,2019-10-23 08:00:00,2019-10-23 15:00:00,7960.54,3.289770166739867,1,2019-10-23 08:20:00,2019-10-23 15:20:00,7982.0,-103.92179251763744,10288.257459246106
