entry_time,entry_time_vn,entry_price,sl,tp,risk,breakout_type,close_1h_at_entry,ema200_1h_at_entry,entry_dist_ema200_pct,h1_range_high_at_breakout,ema200_1h_at_breakout,h1_range_high_dist_ema200_pct,breakout_time,breakout_time_vn,breakout_level,breakout_swing_low,retest_time,retest_time_vn,retest_low,retest_depth_pct,bars_since_breakout,side,exit_time,exit_price,result,balance
2024-06-21 04:20:00,2024-06-21 11:20:00,64607.3,64923.0,63818.05000000001,100.0,range,64648.1,65021.32982429421,0.6367600069285453,64306.5,65025.08087780471,1.1050826359679056,2024-06-21 03:55:00,2024-06-21 10:55:00,64607.3,64923.0,2024-06-21 04:20:00,2024-06-21 11:20:00,64630.0,7.190370605003896,5,SHORT,2024-06-21 08:45:00,63818.05000000001,250.0,10250.0
2024-06-21 11:50:00,2024-06-21 18:50:00,63775.3,64153.8,62829.05,102.5,range,63745.5,64958.96951477247,1.8221802525720279,63485.0,64958.96951477247,2.269077735965734,2024-06-21 11:40:00,2024-06-21 18:40:00,63775.3,64153.8,2024-06-21 11:50:00,2024-06-21 18:50:00,63803.7,7.503302509905992,2,SHORT,2024-06-21 14:30:00,64153.8,-102.5,10147.5
2024-06-23 17:05:00,2024-06-24 00:05:00,64007.4,64180.8,63573.899999999994,101.47500000000001,range,64094.6,64653.61499073537,0.9995032618484939,63888.0,64659.23323184829,1.1927658175018572,2024-06-23 16:50:00,2024-06-23 23:50:00,64007.4,64180.8,2024-06-23 17:05:00,2024-06-24 00:05:00,64009.0,0.922722029987619,3,SHORT,2024-06-23 21:10:00,63573.899999999994,253.68750000000003,10401.1875
2024-06-24 03:00:00,2024-06-24 10:00:00,62885.0,63357.0,61705.0,104.011875,range,62840.1,64539.22178250624,2.563126323525994,62638.0,64556.298383335445,2.971512356462238,2024-06-24 02:55:00,2024-06-24 09:55:00,62885.0,63357.0,2024-06-24 03:00:00,2024-06-24 10:00:00,62940.0,11.652542372881355,1,SHORT,2024-06-24 09:30:00,61705.0,260.0296875,10661.2171875
2024-06-24 16:40:00,2024-06-24 23:40:00,60628.6,61358.2,58804.600000000006,106.612171875,range,60144.5,64183.42451048314,5.5385397983906755,59960.0,64183.42451048314,6.5802417722247375,2024-06-24 16:35:00,2024-06-24 23:35:00,60628.6,61358.2,2024-06-24 16:40:00,2024-06-24 23:40:00,60644.9,2.234100877193386,1,SHORT,2024-06-24 20:25:00,58804.600000000006,266.53042968750003,10927.7476171875
2024-07-03 08:00:00,2024-07-03 15:00:00,60875.9,61179.4,60117.15,109.27747617187501,range,60496.1,62148.97323939409,2.0484219980437715,60600.0,62165.58503074478,2.518411159438946,2024-07-03 07:40:00,2024-07-03 14:40:00,60875.9,61179.4,2024-07-03 08:00:00,2024-07-03 15:00:00,60898.2,10.247116968698037,4,SHORT,2024-07-03 10:15:00,60117.15,273.19369042968754,11200.941307617188
2024-07-04 01:35:00,2024-07-04 08:35:00,59900.0,60500.0,58400.0,112.00941307617188,range,58561.7,61834.619558315804,3.1286997027470633,58388.0,61834.619558315804,5.573931857161862,2024-07-04 01:30:00,2024-07-04 08:30:00,59900.0,60500.0,2024-07-04 01:35:00,2024-07-04 08:35:00,59943.4,7.233333333333576,1,SHORT,2024-07-04 01:55:00,58400.0,280.0235326904297,11480.964840307617
2024-07-12 02:15:00,2024-07-12 09:15:00,57122.9,57554.4,56044.15,114.80964840307617,range,57306.7,58042.901133022395,1.5850364386748002,56500.1,58050.300139384424,2.670442935974912,2024-07-12 01:10:00,2024-07-12 08:10:00,57122.9,57554.4,2024-07-12 02:15:00,2024-07-12 09:15:00,57135.0,2.8041714947852943,13,SHORT,2024-07-12 13:15:00,57554.4,-114.80964840307617,11366.155191904541
2024-07-13 12:25:00,2024-07-13 19:25:00,58581.6,58320.0,59235.59999999999,113.66155191904542,range,58742.6,57967.74300648351,1.0589630744254215,58900.0,57967.74300648351,1.6082340715114896,2024-07-13 12:20:00,2024-07-13 19:20:00,58581.6,58320.0,2024-07-13 12:25:00,2024-07-13 19:25:00,58560.0,8.256880733944444,1,LONG,2024-07-13 22:25:00,58320.0,-113.66155191904542,11252.493639985496
2024-07-14 04:10:00,2024-07-14 11:10:00,59553.4,59254.0,60301.90000000001,112.52493639985497,range,59926.1,58128.78506018131,2.4507908402760727,60088.0,58128.78506018131,3.3704728866951092,2024-07-14 04:05:00,2024-07-14 11:05:00,59553.4,59254.0,2024-07-14 04:10:00,2024-07-14 11:10:00,59551.3,0.701402805610733,1,LONG,2024-07-14 08:25:00,60301.90000000001,281.3123409996374,11533.805980985133
2024-07-15 17:10:00,2024-07-16 00:10:00,63580.0,62812.8,65497.99999999999,115.33805980985133,range,63045.1,59162.732035962574,7.466301524669876,63698.0,59162.732035962574,7.66575140796511,2024-07-15 17:05:00,2024-07-16 00:05:00,63580.0,62812.8,2024-07-15 17:10:00,2024-07-16 00:10:00,63540.0,5.213764337851949,1,LONG,2024-07-16 06:55:00,62812.8,-115.33805980985133,11418.467921175281
