entry_time,entry_time_vn,entry_price,sl,tp,risk,breakout_type,close_1h_at_entry,ema200_1h_at_entry,entry_dist_ema200_pct,h1_range_high_at_breakout,ema200_1h_at_breakout,h1_range_high_dist_ema200_pct,breakout_time,breakout_time_vn,breakout_level,breakout_swing_low,retest_time,retest_time_vn,retest_low,retest_depth_pct,bars_since_breakout,side,exit_time,exit_time_vn,exit_price,result,balance
2019-09-12 23:00:00,2019-09-13 06:00:00,10360.75,10272.03,10582.55,100.0,range,10415.13,10126.343453229485,2.314819242040998,10400.0,10120.807820356164,2.758595801832065,2019-09-12 21:20:00,2019-09-13 04:20:00,10360.75,10272.03,2019-09-12 23:00:00,2019-09-13 06:00:00,10357.51,3.6519386834984284,20,LONG,2019-09-13 07:10:00,2019-09-13 14:10:00,10272.03,-100.0,9900.0
2019-09-19 02:50:00,2019-09-19 09:50:00,10096.9,10178.23,9893.575,99.0,range,10093.66,10211.080823316897,1.1182050685189655,10081.56,10211.080823316897,1.2684340233713394,2019-09-19 02:45:00,2019-09-19 09:45:00,10096.9,10178.23,2019-09-19 02:50:00,2019-09-19 09:50:00,10099.69,3.430468461823282,1,SHORT,2019-09-19 03:00:00,2019-09-19 10:00:00,9893.575,247.5,10147.5
2019-09-21 08:25:00,2019-09-21 15:25:00,10041.8,10095.13,9908.474999999999,101.47500000000001,range,10034.66,10160.393900750216,1.1672175499166417,9963.02,10160.393900750216,1.9425811900426602,2019-09-21 08:20:00,2019-09-21 15:20:00,10041.8,10095.13,2019-09-21 08:25:00,2019-09-21 15:25:00,10045.5,6.937933620852677,1,SHORT,2019-09-22 01:05:00,2019-09-22 08:05:00,9908.474999999999,253.68750000000003,10401.1875
2019-09-29 12:30:00,2019-09-29 19:30:00,8031.34,8095.24,7871.590000000001,104.011875,range,7993.12,8753.83875159102,8.2535076563948,7895.93,8753.83875159102,9.800371881822633,2019-09-29 12:25:00,2019-09-29 19:25:00,8031.34,8095.24,2019-09-29 12:30:00,2019-09-29 19:30:00,8040.0,13.55242566510157,1,SHORT,2019-09-29 21:20:00,2019-09-30 04:20:00,8095.24,-104.011875,10297.175625
2019-10-03 19:15:00,2019-10-04 02:15:00,8114.13,8156.22,8008.905,102.97175625,range,8141.03,8406.29698838227,3.4755729994556743,8020.0,8406.29698838227,4.595328822145383,2019-10-03 19:05:00,2019-10-04 02:05:00,8114.13,8156.22,2019-10-03 19:15:00,2019-10-04 02:15:00,8114.34,0.49893086243771834,2,SHORT,2019-10-03 20:00:00,2019-10-04 03:00:00,8156.22,-102.97175625,10194.203868749999
2019-10-05 13:35:00,2019-10-05 20:35:00,8041.65,8096.41,7904.749999999999,101.94203868749999,range,8067.89,8309.23890192255,3.2203780043035852,8010.0,8309.23890192255,3.6012793163681187,2019-10-05 13:20:00,2019-10-05 20:20:00,8041.65,8096.41,2019-10-05 13:35:00,2019-10-05 20:35:00,8044.26,4.766252739226756,3,SHORT,2019-10-05 20:35:00,2019-10-06 03:35:00,8096.41,-101.94203868749999,10092.261830062498
2019-10-06 13:55:00,2019-10-06 20:55:00,7903.75,7962.02,7758.074999999999,100.92261830062499,range,7899.82,8247.270790950633,4.1652663003082635,7859.03,8247.270790950633,4.707506286523698,2019-10-06 13:50:00,2019-10-06 20:50:00,7903.75,7962.02,2019-10-06 13:55:00,2019-10-06 20:55:00,7906.15,4.118757508151052,1,SHORT,2019-10-06 15:15:00,2019-10-06 22:15:00,7962.02,-100.92261830062499,9991.339211761873
2019-10-11 23:25:00,2019-10-12 06:25:00,8306.79,8341.9,8219.015000000003,99.91339211761874,range,8255.58,8304.273766567889,-0.030300463386000294,8210.0,8304.273766567889,1.1352439625416104,2019-10-11 23:20:00,2019-10-12 06:20:00,8306.79,8341.9,2019-10-11 23:25:00,2019-10-12 06:25:00,8307.0,0.5981201936745494,1,SHORT,2019-10-11 23:45:00,2019-10-12 06:45:00,8219.015000000003,249.78348029404685,10241.12269205592
2019-10-15 21:10:00,2019-10-16 04:10:00,8157.1,8180.0,8099.850000000001,102.4112269205592,range,8159.53,8303.913380352853,1.768002309612413,8080.0,8305.36446960263,2.713480792173014,2019-10-15 20:55:00,2019-10-16 03:55:00,8157.1,8180.0,2019-10-15 21:10:00,2019-10-16 04:10:00,8161.91,21.004366812225182,3,SHORT,2019-10-15 23:30:00,2019-10-16 06:30:00,8180.0,-102.4112269205592,10138.71146513536
2019-10-18 08:10:00,2019-10-18 15:10:00,7878.72,7926.72,7758.72,101.38711465135361,range,7877.02,8185.511207176105,3.7479785857130814,7812.0,8185.511207176105,4.563077341445135,2019-10-18 08:05:00,2019-10-18 15:05:00,7878.72,7926.72,2019-10-18 08:10:00,2019-10-18 15:10:00,7884.55,12.145833333333183,1,SHORT,2019-10-18 11:30:00,2019-10-18 18:30:00,7926.72,-101.38711465135361,10037.324350484007
2019-10-20 21:00:00,2019-10-21 04:00:00,8187.15,8108.26,8384.374999999998,100.37324350484006,range,8192.58,8087.768312872105,1.2287899861043732,8234.01,8085.467842941993,1.8371498093047716,2019-10-20 19:30:00,2019-10-21 02:30:00,8187.15,8108.26,2019-10-20 21:00:00,2019-10-21 04:00:00,8181.05,7.732285460767524,18,LONG,2019-10-22 20:00:00,2019-10-23 03:00:00,8108.26,-100.37324350484006,9936.951106979166
2019-10-23 03:30:00,2019-10-23 10:30:00,8016.0,8042.38,7950.049999999999,99.36951106979166,range,7953.2,8126.654293935368,1.3616217687264605,7937.0,8126.654293935368,2.333731534229281,2019-10-23 03:25:00,2019-10-23 10:25:00,8016.0,8042.38,2019-10-23 03:30:00,2019-10-23 10:30:00,8019.88,14.708112206217184,1,SHORT,2019-10-23 03:35:00,2019-10-23 10:35:00,7950.049999999999,248.42377767447914,10185.374884653645
2019-10-23 08:00:00,2019-10-23 15:00:00,7959.81,7982.0,7904.335000000001,101.85374884653646,range,7976.78,8118.819149761859,1.9585255790125922,7917.11,8120.246678905194,2.501607240983253,2019-10-23 07:55:00,2019-10-23 14:55:00,7959.81,7982.0,2019-10-23 08:00:00,2019-10-23 15:00:00,7960.54,3.289770166739867,1,SHORT,2019-10-23 08:20:00,2019-10-23 15:20:00,7982.0,-101.85374884653646,10083.521135807108
2019-10-23 12:10:00,2019-10-23 19:10:00,7950.0,8017.5,7781.25,100.83521135807109,range,7552.27,8109.254352317211,1.963859380877651,7439.81,8109.254352317211,8.255313290622304,2019-10-23 12:05:00,2019-10-23 19:05:00,7950.0,8017.5,2019-10-23 12:10:00,2019-10-23 19:10:00,7951.19,1.7629629629623702,1,SHORT,2019-10-23 12:40:00,2019-10-23 19:40:00,7781.25,252.08802839517773,10335.609164202286
2019-10-23 16:05:00,2019-10-23 23:05:00,7428.92,7498.0,7256.22,103.35609164202286,range,7471.18,8083.670758307504,8.099671274150094,7402.0,8089.826444320644,8.50236341971865,2019-10-23 15:55:00,2019-10-23 22:55:00,7428.92,7498.0,2019-10-23 16:05:00,2019-10-23 23:05:00,7444.25,22.191661841343286,2,SHORT,2019-10-23 17:55:00,2019-10-24 00:55:00,7498.0,-103.35609164202286,10232.253072560263
2019-11-02 13:00:00,2019-11-02 20:00:00,9319.03,9204.0,9606.605000000003,102.32253072560263,range,9340.0,9030.452127506938,3.195608242183671,9350.0,9027.341093612535,3.5742407763429775,2019-11-02 12:55:00,2019-11-02 19:55:00,9319.03,9204.0,2019-11-02 13:00:00,2019-11-02 20:00:00,9313.0,5.242110753716961,1,LONG,2019-11-03 08:10:00,2019-11-03 15:10:00,9204.0,-102.32253072560263,10129.93054183466
2019-11-08 08:15:00,2019-11-08 15:15:00,9120.0,9211.0,8892.5,101.29930541834659,range,9089.79,9212.013054485002,0.9988376475454929,9065.0,9212.013054485002,1.59588413103069,2019-11-08 08:10:00,2019-11-08 15:10:00,9120.0,9211.0,2019-11-08 08:15:00,2019-11-08 15:15:00,9122.38,2.6153846153837357,1,SHORT,2019-11-08 13:25:00,2019-11-08 20:25:00,8892.5,253.24826354586648,10383.178805380527
2019-11-15 01:10:00,2019-11-15 08:10:00,8614.0,8665.96,8484.100000000002,103.83178805380527,range,8559.15,8847.834011822122,2.6428390441059646,8530.0,8847.834011822122,3.592223943141848,2019-11-15 01:00:00,2019-11-15 08:00:00,8614.0,8665.96,2019-11-15 01:10:00,2019-11-15 08:10:00,8614.6,1.15473441108617,2,SHORT,2019-11-15 09:00:00,2019-11-15 16:00:00,8665.96,-103.83178805380527,10279.347017326721
2019-11-15 14:05:00,2019-11-15 21:05:00,8639.49,8685.0,8525.715,102.79347017326722,range,8460.81,8816.715349714053,2.0101062888437413,8380.0,8816.715349714053,4.953265840982573,2019-11-15 14:00:00,2019-11-15 21:00:00,8639.49,8685.0,2019-11-15 14:05:00,2019-11-15 21:05:00,8640.0,1.1206328279503752,1,SHORT,2019-11-15 14:30:00,2019-11-15 21:30:00,8525.715,256.98367543316806,10536.33069275989
2019-11-18 17:10:00,2019-11-19 00:10:00,8401.0,8435.29,8315.274999999998,105.3633069275989,range,8345.53,8640.702417680239,2.774108007582461,8303.0,8640.702417680239,3.908275060940028,2019-11-18 17:05:00,2019-11-19 00:05:00,8401.0,8435.29,2019-11-18 17:10:00,2019-11-19 00:10:00,8406.58,16.272965879264465,1,SHORT,2019-11-18 17:25:00,2019-11-19 00:25:00,8315.274999999998,263.4082673189972,10799.738960078887
2019-11-21 08:25:00,2019-11-21 15:25:00,8072.1,8100.65,8000.725000000002,107.99738960078886,range,7935.23,8395.131996871756,3.8478489318825,7906.0,8395.131996871756,5.826376488827329,2019-11-21 08:20:00,2019-11-21 15:20:00,8072.1,8100.65,2019-11-21 08:25:00,2019-11-21 15:25:00,8073.95,6.479859894919445,1,SHORT,2019-11-21 08:45:00,2019-11-21 15:45:00,8000.725000000002,269.9934740019722,11069.73243408086
2019-11-21 11:10:00,2019-11-21 18:10:00,7902.0,7958.59,7760.525,110.69732434080859,range,7871.42,8380.845423792594,5.713569450084212,7855.0,8380.845423792594,6.27437206155549,2019-11-21 11:05:00,2019-11-21 18:05:00,7902.0,7958.59,2019-11-21 11:10:00,2019-11-21 18:10:00,7908.22,10.991341226365504,1,SHORT,2019-11-21 15:00:00,2019-11-21 22:00:00,7760.525,276.74331085202147,11346.47574493288
2019-11-27 14:20:00,2019-11-27 21:20:00,7216.0,7275.2,7068.0,113.46475744932881,range,7221.51,7425.309169869506,2.818861344101913,6850.0,7425.309169869506,7.747949030917142,2019-11-27 14:15:00,2019-11-27 21:15:00,7216.0,7275.2,2019-11-27 14:20:00,2019-11-27 21:20:00,7225.59,16.19932432432462,1,SHORT,2019-11-27 15:30:00,2019-11-27 22:30:00,7275.2,-113.46475744932881,11233.010987483553
2019-12-09 19:20:00,2019-12-10 02:20:00,7419.44,7454.4,7332.039999999999,112.33010987483553,range,7374.99,7430.292295451152,0.1460547582737293,7342.36,7430.292295451152,1.1834298296042145,2019-12-09 19:15:00,2019-12-10 02:15:00,7419.44,7454.4,2019-12-09 19:20:00,2019-12-10 02:20:00,7421.54,6.006864988559387,1,SHORT,2019-12-09 20:30:00,2019-12-10 03:30:00,7332.039999999999,280.82527468708884,11513.836262170642
2019-12-14 11:30:00,2019-12-14 18:30:00,7163.9,7197.9,7078.9,115.13836262170642,range,7183.45,7292.454641776426,1.7628445851410963,7141.0,7292.454641776426,2.076867793030686,2019-12-14 11:25:00,2019-12-14 18:25:00,7163.9,7197.9,2019-12-14 11:30:00,2019-12-14 18:30:00,7168.0,12.058823529412836,1,SHORT,2019-12-14 15:50:00,2019-12-14 22:50:00,7078.9,287.84590655426604,11801.682168724908
2019-12-18 12:10:00,2019-12-18 19:10:00,6602.22,6657.59,6463.795,118.01682168724909,range,6535.0,7045.305664399598,6.2890907152338205,6485.28,7045.305664399598,7.948919338297064,2019-12-18 12:05:00,2019-12-18 19:05:00,6602.22,6657.59,2019-12-18 12:10:00,2019-12-18 19:10:00,6604.53,4.171934260428924,1,SHORT,2019-12-18 13:00:00,2019-12-18 20:00:00,6463.795,295.04205421812276,12096.72422294303
2019-12-22 18:50:00,2019-12-23 01:50:00,7380.0,7210.0,7805.0,120.96724222943031,range,7391.0,7108.081387820505,3.825485350314354,7450.0,7108.081387820505,4.81027992680785,2019-12-22 18:45:00,2019-12-23 01:45:00,7380.0,7210.0,2019-12-22 18:50:00,2019-12-23 01:50:00,7379.36,0.37647058823548674,1,LONG,2019-12-24 16:10:00,2019-12-24 23:10:00,7210.0,-120.96724222943031,11975.7569807136
